,compound,create_date,negative,neutral,news_media,positive,tweets_ago
99,0.0,2018-04-05 09:55:45+00:00,0.0,1.0,BBC,0.0,-99
0,0.6597,2018-04-09 20:00:00+00:00,0.0,0.779,CBS,0.221,0
1,0.0,2018-04-09 17:29:47+00:00,0.0,1.0,CBS,0.0,-1
2,0.0,2018-04-09 17:00:02+00:00,0.0,1.0,CBS,0.0,-2
3,0.2732,2018-04-09 15:00:00+00:00,0.086,0.784,CBS,0.129,-3
4,0.6239,2018-04-09 13:36:00+00:00,0.0,0.786,CBS,0.214,-4
5,0.6467,2018-04-09 01:42:06+00:00,0.0,0.72,CBS,0.28,-5
6,0.7096,2018-04-08 22:00:01+00:00,0.0,0.742,CBS,0.258,-6
7,0.5562,2018-04-08 18:38:13+00:00,0.0,0.854,CBS,0.146,-7
8,0.4199,2018-04-08 15:00:00+00:00,0.0,0.892,CBS,0.108,-8
9,0.6696,2018-04-07 19:35:08+00:00,0.0,0.817,CBS,0.183,-9
10,0.0,2018-04-07 18:28:03+00:00,0.0,1.0,CBS,0.0,-10
11,0.3612,2018-04-07 16:30:02+00:00,0.0,0.894,CBS,0.106,-11
12,0.0,2018-04-07 15:31:12+00:00,0.0,1.0,CBS,0.0,-12
13,0.0,2018-04-06 21:10:18+00:00,0.0,1.0,CBS,0.0,-13
14,0.0,2018-04-06 17:00:00+00:00,0.0,1.0,CBS,0.0,-14
15,0.0,2018-04-06 13:45:00+00:00,0.0,1.0,CBS,0.0,-15
16,0.5859,2018-04-05 21:44:00+00:00,0.0,0.806,CBS,0.194,-16
17,0.6597,2018-04-05 19:07:48+00:00,0.0,0.759,CBS,0.241,-17
18,-0.3875,2018-04-05 17:00:00+00:00,0.157,0.769,CBS,0.074,-18
19,0.807,2018-04-04 22:07:01+00:00,0.0,0.687,CBS,0.313,-19
20,0.7568,2018-04-04 21:48:07+00:00,0.0,0.712,CBS,0.288,-20
21,0.8495,2018-04-04 21:47:26+00:00,0.0,0.634,CBS,0.366,-21
22,0.4926,2018-04-04 21:46:13+00:00,0.0,0.803,CBS,0.197,-22
23,-0.3182,2018-04-04 21:44:17+00:00,0.095,0.905,CBS,0.0,-23
24,-0.25,2018-04-04 18:02:13+00:00,0.133,0.867,CBS,0.0,-24
25,0.0,2018-04-03 23:00:00+00:00,0.0,1.0,CBS,0.0,-25
26,0.0,2018-04-03 21:00:02+00:00,0.0,1.0,CBS,0.0,-26
27,0.7096,2018-04-03 18:00:00+00:00,0.0,0.742,CBS,0.258,-27
28,0.7906,2018-04-03 05:17:01+00:00,0.0,0.579,CBS,0.421,-28
29,0.1513,2018-04-02 17:30:00+00:00,0.092,0.792,CBS,0.116,-29
30,0.6486,2018-04-01 17:00:03+00:00,0.0,0.798,CBS,0.202,-30
31,0.0,2018-03-31 18:00:00+00:00,0.0,1.0,CBS,0.0,-31
32,0.4199,2018-03-31 15:30:00+00:00,0.0,0.887,CBS,0.113,-32
33,0.4926,2018-03-30 16:50:00+00:00,0.0,0.873,CBS,0.127,-33
34,0.0,2018-03-29 17:32:40+00:00,0.0,1.0,CBS,0.0,-34
35,0.0,2018-03-29 17:30:02+00:00,0.0,1.0,CBS,0.0,-35
36,0.3818,2018-03-27 21:00:01+00:00,0.108,0.68,CBS,0.212,-36
37,0.296,2018-03-27 17:00:00+00:00,0.0,0.901,CBS,0.099,-37
38,0.508,2018-03-26 22:14:25+00:00,0.0,0.88,CBS,0.12,-38
39,0.0,2018-03-26 20:42:48+00:00,0.0,1.0,CBS,0.0,-39
40,0.7959,2018-03-26 16:59:19+00:00,0.0,0.786,CBS,0.214,-40
41,0.807,2018-03-26 16:05:18+00:00,0.0,0.622,CBS,0.378,-41
42,0.0,2018-03-25 23:57:34+00:00,0.0,1.0,CBS,0.0,-42
43,0.5319,2018-03-25 17:15:25+00:00,0.062,0.78,CBS,0.157,-43
44,0.5399,2018-03-24 22:46:53+00:00,0.0,0.801,CBS,0.199,-44
45,-0.34,2018-03-24 22:46:43+00:00,0.185,0.7,CBS,0.115,-45
46,0.7003,2018-03-24 22:25:03+00:00,0.0,0.791,CBS,0.209,-46
47,0.0,2018-03-24 22:21:37+00:00,0.0,1.0,CBS,0.0,-47
48,0.0,2018-03-24 22:21:34+00:00,0.0,1.0,CBS,0.0,-48
49,0.7184,2018-03-24 22:21:26+00:00,0.0,0.667,CBS,0.333,-49
50,0.9451,2018-03-24 22:21:23+00:00,0.0,0.58,CBS,0.42,-50
51,0.0,2018-03-24 20:00:02+00:00,0.0,1.0,CBS,0.0,-51
52,0.6996,2018-03-23 22:33:52+00:00,0.0,0.806,CBS,0.194,-52
53,0.4939,2018-03-23 22:33:04+00:00,0.0,0.686,CBS,0.314,-53
54,0.8997,2018-03-23 22:32:48+00:00,0.0,0.645,CBS,0.355,-54
55,0.0,2018-03-22 22:10:29+00:00,0.0,1.0,CBS,0.0,-55
56,0.7081,2018-03-22 20:52:02+00:00,0.066,0.623,CBS,0.311,-56
57,0.636,2018-03-22 00:23:38+00:00,0.0,0.802,CBS,0.198,-57
58,0.0,2018-03-21 18:00:01+00:00,0.0,1.0,CBS,0.0,-58
59,0.5106,2018-03-20 20:00:01+00:00,0.0,0.858,CBS,0.142,-59
